scope,feature,n,spearman_rho,p_value
method=ABodyBuilder2,h3_len,565,0.6702018669549517,6.24711731573683e-75
method=ABodyBuilder2,h3_num_unique,565,0.5198720071754497,1.9463617512407386e-40
method=ABodyBuilder2,h3_entropy,565,0.4339620106081454,2.383235833557564e-27
method=ABodyBuilder2,h3_kmer3_rarity_dataset,565,0.24820007701537464,2.225742737223861e-09
method=ABodyBuilder2,h3_frac_hydrophobic,565,-0.09064464303595922,0.03121952878749783
method=ABodyBuilder2,h3_frac_aromatic,565,-0.0811332019656874,0.05392710212108223
method=ABodyBuilder2,h3_net_charge_pH7,565,-0.04162759649392533,0.32329297868459494
method=ABodyBuilder2,h3_frac_gly_pro,565,0.03525570651042128,0.40291714262270995
method=ABodyBuilder2,h3_kd_mean,565,-0.03402794774924991,0.41950656504182005
method=IGFold,h3_len,571,0.5316386442284177,5.674776699260107e-43
method=IGFold,h3_num_unique,571,0.4022240624196383,1.2900529330121968e-23
method=IGFold,h3_entropy,571,0.33307545472506417,2.929190545583463e-16
method=IGFold,h3_kmer3_rarity_dataset,571,0.2790141614749622,1.1380864257580495e-11
method=IGFold,h3_frac_aromatic,571,-0.11252861190499656,0.007111003529028469
method=IGFold,h3_frac_hydrophobic,571,-0.09923668237206625,0.017692962729954066
method=IGFold,h3_frac_gly_pro,571,0.05690210606808279,0.174517304335879
method=IGFold,h3_kd_mean,571,-0.032602691974378796,0.43682808761269254
method=IGFold,h3_net_charge_pH7,571,-0.01944655191347661,0.6428535915708793
pooled,h3_len,1136,0.6028636292588818,2.3377501283525686e-113
pooled,h3_num_unique,1136,0.46285059242697957,2.1878233262180764e-61
pooled,h3_entropy,1136,0.3853198906193957,1.6199962280741685e-41
pooled,h3_kmer3_rarity_dataset,1136,0.2618304324309995,2.9078029058400577e-19
pooled,h3_frac_aromatic,1136,-0.09712393440219473,0.0010466731991616966
pooled,h3_frac_hydrophobic,1136,-0.09398435593722652,0.001517900657862536
pooled,h3_frac_gly_pro,1136,0.0441220445598528,0.13722558624931974
pooled,h3_kd_mean,1136,-0.032402187906214935,0.27519062223020824
pooled,h3_net_charge_pH7,1136,-0.031880464251020785,0.2829983145059621
